category,transaction_date,description,debit,credit,balance
Income:Contributions:Contributions,2025-01-06,DEPOSIT,0,1441.00,94003.11
Income:Contributions:Contributions,2025-01-13,DEPOSIT,0,350.00,94353.11
Income:Contributions:Contributions,2025-01-13,DEPOSIT,0,1047.00,95400.11
Income:Contributions:Contributions,2025-01-16,STRIPE TRANSFER,0,149.70,95549.81
Income:Contributions:Contributions,2025-01-21,DEPOSIT,0,1080.00,96629.81
Income:Contributions:Contributions,2025-01-21,STRIPE TRANSFER,0,100.00,96729.81
Income:Contributions:Contributions,2025-01-27,DEPOSIT,0,890.00,97619.81
Income:Contributions:Contributions,2025-02-03,DEPOSIT,0,4034.24,101654.05
Income:Contributions:Contributions,2025-02-10,DEPOSIT,0,696.00,102350.05
Income:Contributions:Contributions,2025-02-13,STRIPE TRANSFER,0,50.00,102400.05
Income:Contributions:Contributions,2025-02-18,DEPOSIT,0,920.00,103320.05
Income:Contributions:Contributions,2025-02-20,STRIPE TRANSFER,0,100.00,103420.05
Income:Contributions:Contributions,2025-02-24,DEPOSIT,0,1024.00,104444.05
Income:Contributions:Contributions,2025-02-25,STRIPE TRANSFER,0,75.00,104519.05
Income:Contributions:Contributions,2025-03-03,DEPOSIT,0,1355.00,105874.05
Income:Contributions:Contributions,2025-03-10,DEPOSIT,0,1645.00,107519.05
Income:Contributions:Contributions,2025-03-17,DEPOSIT,0,985.00,108504.05
Income:Contributions:Contributions,2025-03-18,STRIPE TRANSFER,0,100.00,108604.05
Income:Contributions:Contributions,2025-03-31,DEPOSIT,0,600.00,109204.05
Income:Contributions:Contributions,2025-03-31,DEPOSIT,0,1180.00,110384.05
Income:Contributions:Contributions,2025-04-07,DEPOSIT,0,1520.00,111904.05
Income:Contributions:Contributions,2025-04-09,STRIPE TRANSFER,0,70.00,111974.05
Income:Contributions:Contributions,2025-04-14,DEPOSIT,0,1268.00,113242.05
Income:Contributions:Contributions,2025-04-17,STRIPE TRANSFER,0,100.00,113342.05
Income:Contributions:Contributions,2025-04-21,DEPOSIT,0,1178.00,114520.05
Income:Contributions:Contributions,2025-04-23,STRIPE TRANSFER,0,75.00,114595.05
Income:Contributions:Contributions,2025-04-24,THRIVENTGRANT GRBATCHPAY 250423,0,22.00,114617.05
Income:Contributions:Contributions,2025-04-28,DEPOSIT,0,1780.00,116397.05
Income:Contributions:Contributions,2025-05-05,DEPOSIT,0,1929.00,118326.05
Income:Contributions:Contributions,2025-05-07,STRIPE TRANSFER,0,360.00,118686.05
Income:Contributions:Contributions,2025-05-12,DEPOSIT,0,1075.00,119761.05
Income:Contributions:Contributions,2025-05-19,DEPOSIT,0,880.00,120641.05
Income:Contributions:Contributions,2025-05-20,STRIPE TRANSFER,0,100.00,120741.05
Income:Contributions:Contributions,2025-05-21,STRIPE TRANSFER,0,63.30,120804.35
Income:Contributions:Contributions,2025-05-27,DEPOSIT,0,2862.42,123666.77
Income:Contributions:Contributions,2025-06-02,DEPOSIT,0,1195.00,124861.77
Income:Contributions:Contributions,2025-06-09,DEPOSIT,0,925.00,125786.77
Income:Contributions:Contributions,2025-06-10,STRIPE TRANSFER,0,150.00,125936.77
Income:Contributions:Contributions,2025-06-16,DEPOSIT,0,1643.00,127579.77
Income:Contributions:Contributions,2025-06-20,STRIPE TRANSFER,0,100.00,127679.77
Income:Contributions:Contributions,2025-06-23,DEPOSIT,0,350.00,128029.77
Income:Contributions:Contributions,2025-06-25,STRIPE TRANSFER,0,115.00,128144.77
Income:Contributions:Contributions,2025-06-30,DEPOSIT,0,646.00,128790.77
Income:Savings:Interest,2025-01-31,INTEREST PAYMENT,0,49.61,335.42
Income:Savings:Interest,2025-02-28,INTEREST PAYMENT,0,45.31,380.73
Income:Savings:Interest,2025-03-31,INTEREST PAYMENT,0,50.69,431.42
Income:Savings:Interest,2025-04-30,INTEREST PAYMENT,0,49.50,480.92
Income:Savings:Interest,2025-05-30,INTEREST PAYMENT,0,52.28,533.20
Income:Savings:Interest,2025-06-30,INTEREST PAYMENT,0,51.06,584.26
Income:Daycare:Reimbursement,2025-02-07,Zelle Transaction 2025020714,0,460.00,-102.50
Income:Daycare:Reimbursement,2025-02-07,Daycare utilities reimbursement,460.00,0,-562.50
Income:Daycare:Reimbursement,2025-03-21,Zelle Transaction 2025032114,0,200.00,-362.50
Income:Daycare:Reimbursement,2025-03-21,Daycare utilities reimbursement,200.00,0,-562.50
Income:Daycare:Reimbursement,2025-04-04,Zelle Transaction 2025040411,0,260.00,-302.50
Income:Daycare:Reimbursement,2025-04-04,Daycare utilities reimbursement,260.00,0,-562.50
Income:Daycare:Reimbursement,2025-05-02,Zelle Transaction 2025050218,0,460.00,-102.50
Income:Daycare:Reimbursement,2025-05-02,Daycare utilities reimbursement,460.00,0,-562.50
Income:Restricted:Destiny Rescue,2025-06-23,DEPOSIT,0,1500.00,1500.00
Income:Restricted:Nursery/Children's Ministry,2025-01-21,DEPOSIT,0,40.00,860.00
Income:Restricted:Nursery/Children's Ministry,2025-01-27,DEPOSIT,0,100.00,960.00
Facilities:Insurance:Insurance,2025-01-08,PURCHASE LIBERTY MUTU,60.30,0,909.51
Facilities:Insurance:Insurance,2025-02-10,PURCHASE LIBERTY MUTU,60.30,0,969.81
Facilities:Insurance:Insurance,2025-03-10,PURCHASE LIBERTY MUTU,60.30,0,1030.11
Facilities:Insurance:Insurance,2025-04-08,PURCHASE LIBERTY MUTU,60.30,0,1090.41
Facilities:Insurance:Insurance,2025-05-08,PURCHASE LIBERTY MUTU,60.30,0,1150.71
Facilities:Insurance:Insurance,2025-06-10,PURCHASE LIBERTY MUTU,60.30,0,1211.01
Facilities:Maintenance:Maintenance,2025-04-04,SILCO FIRE & PAYMENT 250404,6.40,0,1756.99
Facilities:Maintenance:Maintenance,2025-05-28,Lowe's,53.46,0,1810.45
Facilities:Maintenance:Maintenance,2025-05-29,Lowe's,49.96,0,1860.41
Facilities:Maintenance:Maintenance,2025-06-09,NEW LIFE RENO PAYMENT 250609,1165.00,0,3025.41
Facilities:Rent:Rent,2025-01-13,"PNC BANK, OHI PAYMENT 250112",1500.00,0,25200.00
Facilities:Rent:Rent,2025-02-12,"PNC BANK, OHI PAYMENT 250212",1500.00,0,26700.00
Facilities:Rent:Rent,2025-03-12,"PNC BANK, OHI PAYMENT 250312",1500.00,0,28200.00
Facilities:Rent:Rent,2025-04-14,"PNC BANK, OHI PAYMENT 250412",1500.00,0,29700.00
Facilities:Rent:Rent,2025-05-12,"PNC BANK, OHI PAYMENT 250512",1500.00,0,31200.00
Facilities:Rent:Rent,2025-06-12,"PNC BANK, OHI PAYMENT 250612",1500.00,0,32700.00
Facilities:Staff:Pulpit and Worship Supply,2025-05-16,PURCHASE AMAZON MKTPL,99.99,0,240.68
Facilities:Utilities:Electric,2025-01-08,FIRSTENERGY OPCOACH,278.20,0,5549.69
Facilities:Utilities:Electric,2025-02-12,FirstEnergy OPCO-ACH 250212,333.96,0,5883.65
Facilities:Utilities:Electric,2025-03-12,FirstEnergy OPCO-ACH 250312,364.08,0,6247.73
Facilities:Utilities:Electric,2025-04-10,FirstEnergy OPCO-ACH 250410,280.81,0,6528.54
Facilities:Utilities:Electric,2025-05-09,FirstEnergy OPCO-ACH 250509,253.43,0,6781.97
Facilities:Utilities:Electric,2025-06-09,FirstEnergy OPCO-ACH 250609,307.25,0,7089.22
Facilities:Utilities:Gas,2025-02-04,ENBRIDGE GAS OHIBILLPAY 250203,575.87,0,4296.73
Facilities:Utilities:Gas,2025-03-04,ENBRIDGE GAS OHIBILLPAY 250303,621.43,0,4918.16
Facilities:Utilities:Gas,2025-04-02,ENBRIDGE GAS OHIBILLPAY 250401,440.01,0,5358.17
Facilities:Utilities:Gas,2025-05-06,ENBRIDGE GAS OHIBILLPAY 250505,329.15,0,5687.32
